Log Time,kerberos,Bat
2025-02-16 11:37:59,laptiev,3.521667
2025-02-16 11:37:25,laptiev,3.441667
2025-02-16 11:36:51,laptiev,3.438333
2025-02-16 11:36:17,laptiev,3.441667
2025-02-16 11:35:43,laptiev,3.443333
2025-02-16 11:35:09,laptiev,3.516666
2025-02-16 11:34:35,laptiev,3.443333
2025-02-16 11:34:01,laptiev,3.443333
2025-02-16 11:33:26,laptiev,3.518333
2025-02-16 11:32:52,laptiev,3.438333
2025-02-16 11:32:18,laptiev,3.52
2025-02-16 11:31:44,laptiev,3.438333
2025-02-16 11:31:10,laptiev,3.521667
2025-02-16 11:30:36,laptiev,3.521667
2025-02-16 11:30:02,laptiev,3.52
2025-02-16 11:29:28,laptiev,3.518333
2025-02-16 11:28:54,laptiev,3.443333
2025-02-16 11:28:20,laptiev,3.521667
2025-02-16 11:27:46,laptiev,3.443333
2025-02-16 11:27:11,laptiev,3.438333
2025-02-16 11:26:37,laptiev,3.521667
2025-02-16 11:26:03,laptiev,3.521667
2025-02-16 11:25:29,laptiev,3.521667
2025-02-16 11:24:55,laptiev,3.445
2025-02-16 11:24:21,laptiev,3.52
2025-02-16 11:23:47,laptiev,3.448333
2025-02-16 11:23:13,laptiev,3.446667
2025-02-16 11:22:39,laptiev,3.445
2025-02-16 11:22:05,laptiev,3.521667
2025-02-16 11:21:31,laptiev,3.525
2025-02-16 11:20:56,laptiev,3.523334
2025-02-16 11:20:22,laptiev,3.521667
2025-02-16 11:19:48,laptiev,3.443333
2025-02-16 11:19:14,laptiev,3.448333
2025-02-16 11:18:40,laptiev,3.446667
2025-02-16 11:18:06,laptiev,3.523334
2025-02-16 11:17:32,laptiev,3.523334
2025-02-16 11:16:58,laptiev,3.523334
2025-02-16 11:16:24,laptiev,3.443333
2025-02-16 11:15:50,laptiev,3.44
2025-02-16 11:15:15,laptiev,3.521667
2025-02-16 11:14:41,laptiev,3.438333
2025-02-16 11:14:07,laptiev,3.44
2025-02-16 11:13:33,laptiev,3.523334
2025-02-16 11:12:59,laptiev,3.525
2025-02-16 11:12:25,laptiev,3.523334
2025-02-16 11:11:51,laptiev,3.446667
2025-02-16 11:11:17,laptiev,3.523334
2025-02-16 11:10:43,laptiev,3.443333
2025-02-16 11:10:09,laptiev,3.523334
2025-02-16 11:09:35,laptiev,3.523334
2025-02-16 11:09:01,laptiev,3.448333
2025-02-16 11:08:26,laptiev,3.443333
2025-02-16 11:07:52,laptiev,3.451667
2025-02-16 11:07:18,laptiev,3.451667
2025-02-16 11:06:44,laptiev,3.525
2025-02-16 11:06:10,laptiev,3.523334
2025-02-16 11:05:36,laptiev,3.45
2025-02-16 11:05:02,laptiev,3.45
2025-02-16 11:04:28,laptiev,3.526667
2025-02-16 11:03:54,laptiev,3.525
2025-02-16 11:03:20,laptiev,3.45
2025-02-16 11:02:46,laptiev,3.446667
2025-02-16 11:02:11,laptiev,3.446667
2025-02-16 11:01:37,laptiev,3.448333
2025-02-16 11:01:03,laptiev,3.526667
2025-02-16 11:00:29,laptiev,3.523334
2025-02-16 10:59:55,laptiev,3.451667
2025-02-16 10:59:21,laptiev,3.45
2025-02-16 10:58:47,laptiev,3.525
2025-02-16 10:58:13,laptiev,3.523334
2025-02-16 10:57:39,laptiev,3.45
2025-02-16 10:57:05,laptiev,3.451667
2025-02-16 10:56:30,laptiev,3.525
2025-02-16 10:55:56,laptiev,3.523334
2025-02-16 10:55:22,laptiev,3.451667
2025-02-16 10:54:48,laptiev,3.453333
2025-02-16 10:54:14,laptiev,3.453333
2025-02-16 10:53:40,laptiev,3.451667
2025-02-16 10:53:06,laptiev,3.451667
2025-02-16 10:52:32,laptiev,3.448333
2025-02-16 10:51:58,laptiev,3.523334
2025-02-16 10:51:24,laptiev,3.453333
2025-02-16 10:50:49,laptiev,3.451667
2025-02-16 10:50:15,laptiev,3.453333
2025-02-16 10:49:41,laptiev,3.53
2025-02-16 10:49:07,laptiev,3.525
2025-02-16 10:48:33,laptiev,3.446667
2025-02-16 10:47:59,laptiev,3.53
2025-02-16 10:47:25,laptiev,3.451667
2025-02-16 10:46:51,laptiev,3.523334
2025-02-16 10:46:17,laptiev,3.525
2025-02-16 10:45:43,laptiev,3.453333
2025-02-16 10:45:09,laptiev,3.525
2025-02-16 10:44:34,laptiev,3.525
2025-02-16 10:44:00,laptiev,3.451667
2025-02-16 10:43:26,laptiev,3.523334
2025-02-16 10:42:52,laptiev,3.448333
